Feature;gender;Videos;Total_Errors;Mean_Errors;% of Category;ethnicity;hair_color;hair_length;is_ears_visible
gender;FEMALE;95;399;4.2;55.80419580419581;;;;
gender;MALE;72;316;4.388888888888889;44.19580419580419;;;;
ethnicity;AFRICAN;1;5;5.0;0.6993006993006993;AFRICAN;;;
ethnicity;ASIAN;2;7;3.5;0.9790209790209791;ASIAN;;;
ethnicity;MIXED;1;6;6.0;0.8391608391608392;MIXED;;;
ethnicity;WHITE;163;697;4.276073619631902;97.48251748251748;WHITE;;;
hair_color;BLACK;123;531;4.317073170731708;74.26573426573427;;BLACK;;
hair_color;BLONDE;23;87;3.782608695652174;12.167832167832168;;BLONDE;;
hair_color;BROWN;7;26;3.7142857142857144;3.6363636363636362;;BROWN;;
hair_color;GREY;11;54;4.909090909090909;7.5524475524475525;;GREY;;
hair_color;LIGHT BROWN;3;17;5.666666666666667;2.3776223776223775;;LIGHT BROWN;;
hair_length;LONG;55;247;4.490909090909091;34.54545454545455;;;LONG;
hair_length;SHORT;112;468;4.178571428571429;65.45454545454545;;;SHORT;
is_ears_visible;FALSE;40;165;4.125;23.076923076923077;;;;FALSE
is_ears_visible;TRUE;127;550;4.330708661417323;76.92307692307692;;;;TRUE